song_id,title,artist,genre,release_year
T000001,変身(REBORN),BUCK-TICK,ロック,1991
T000002,男心と秋の空,ゴールデンボンバー,J-Pop,2011
T000003,Can't Stop Fallin' in Love(STRAIGHT RUN),globe,J-Pop,1996
T000004,熱き血が勇気に~ロボットジェネレーション讃歌,水木一郎,アニメ,1999
T000005,VIVID,w.o.d.,オルタナティブ,2018
T000006,夜空ノムコウ Originally Performed By SMAP (オルゴール),西脇睦宏,J-Pop,2007
T000007,口笛を吹くように,ハンブレッダーズ,ロック,2018
T000008,涙の続き(backing track) [Backing Track],華原朋美,ポップ,2005
T000009,DOSE,Da-iCE,J-Pop,2022
T000010,笛吹けども踊らず,米津玄師,J-Pop,2013
T000011,Perfume,The Dare,オルタナティブ,2024
T000012,LOVE & KING (feat. 関ジャニ∞),KING,J-Pop,2015
T000013,真っ赤な闘魂! レッドパンチャー!!,影山ヒロノブ,サウンドトラック,2004
T000014,黄金の月,スガ シカオ,J-Pop,1997
T000015,Le Penseur,三浦大知,J-Pop,2022
T000016,ヒナ (feat. 可不 & 初音ミク),yanagamiyuki,ヒップホップ／ラップ,2023
T000017,Too Bad Day But... (feat. AKLO & KEIJU) [Remix],Kvi Baba,ヒップホップ／ラップ,2021
T000018,GOLD TRAIN (Live at Zepp DiverCity 2022.7.5),リーガルリリー,ロック,2023
T000019,チエちゃん (Remastered 2018),井上陽水,J-Pop,1973
T000020,カムフラージュ (Live),竹内まりや,J-Pop,2000
T000021,ココロオドル+2Key(原曲歌手:nobodyknows+)[ガイド無しカラオケ],歌っちゃ王,カラオケ,2021
T000022,Voice,L'Arc-en-Ciel,ロック,1993
T000023,あの頃じゃねえ,般若,ヒップホップ／ラップ,2016
T000024,Finesse,ブルーノ・マーズ,ポップ,2016
T000025,冬空,三代目 J SOUL BROTHERS from EXILE TRIBE,J-Pop,2019
T000026,teens,trf,J-Pop,1998
T000027,"Escape (12""American Rap)",TRF,J-Pop,2007
T000028,シーサイド・バウンド,天童よしみ,演歌,2007
T000029,Kaleidoscope,コールドプレイ,オルタナティブ,2015
T000030,愛への出発,キャンディーズ,歌謡曲,2008
T000031,Get Down,w-inds.,J-Pop,2019
T000032,New Jeans,The Dreamer Piano,インストゥルメンタル,2023
T000033,ローリンガール ver.秋赤音,秋赤音×wowaka,J-Pop,2011
T000034,Stuck,coldrain,ロック,2010
T000035,忘記他(彼を忘れて),テレサ・テン,広東ポップ,2026
T000036,オレンジ,GReeeeN,J-Pop,2012
T000037,FACES PLACES (STRAIGHT RUN),globe,J-Pop,1997
T000038,「いなかっぺ大将」より 大ちゃん数え唄,天童よしみ,演歌,2009
T000039,1000 Nights (feat. Meek Mill & A Boogie wit da Hoodie),エド・シーラン,ポップ,2019
T000040,Whatever,Kygo & Ava Max,ダンス,2024
T000041,Unsuspecting Sunday Afternoon,バックストリート・ボーイズ,ポップ,2007
T000042,Habit,SEKAI NO OWARI,J-Pop,2022
T000043,The Sound Of Breath,SiM,ロック,2017
T000044,爆竜戦隊アバレンジャー (Acoustic ver.),遠藤正明,アニメ,2018
T000045,ラスト・ホリデイ,ワンリパブリック,ポップ,2024
T000046,IF YOU [BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE- : THE FINAL] [JP version],BIGBANG,K-Pop,2018
T000047,Raindrop,Tomoo Kosugi,エレクトロニック,2023
T000048,プライオリティー/木下百花,NMB48,J-Pop,2016
T000049,am0042,宮内優里,エレクトロニック,2006
T000050,夜風とハヤブサ,indigo la End,J-Pop,2020
T000051,Speed (Live),L.A.GUNS,ハードロック,2018
T000052,今夜もCinderella,mihimaru GT,J-Pop,2011
